record_id,product_listing,sku,selling_price_gbp,units_sold,revenue_generated_gbp,reporting_period_start,reporting_period_end,reporting_period,platform,shop_name,currency,data_source,latest_update_timestamp
LT-CP-003-ETSY-2026-02-21,Embroidered Cosmetic Pouch,LT-CP-003,18.50,13,240.50,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-INSTAGRAMSHOP-2026-02-21,Embroidered Cosmetic Pouch,LT-CP-003,18.50,7,129.50,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-SHOPIFY-2026-02-28,Embroidered Cosmetic Pouch,LT-CP-003,18.50,10,185.00,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-ETSY-2026-02-28,Embroidered Cosmetic Pouch,LT-CP-003,18.50,14,259.00,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-INSTAGRAMSHOP-2026-02-28,Embroidered Cosmetic Pouch,LT-CP-003,18.50,8,148.00,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-SHOPIFY-2026-03-07,Embroidered Cosmetic Pouch,LT-CP-003,18.50,11,203.50,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-ETSY-2026-03-07,Embroidered Cosmetic Pouch,LT-CP-003,18.50,16,296.00,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Etsy,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-CP-003-INSTAGRAMSHOP-2026-03-07,Embroidered Cosmetic Pouch,LT-CP-003,18.50,9,166.50,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Instagram Shop,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-SHOPIFY-2026-02-21,Lightweight Soft Scarf,LT-SF-004,21.99,6,131.94,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-AMAZON-2026-02-21,Lightweight Soft Scarf,LT-SF-004,21.99,11,241.89,2026-02-15,2026-02-21,2026-02-15 to 2026-02-21,Amazon,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-SHOPIFY-2026-02-28,Lightweight Soft Scarf,LT-SF-004,21.99,7,153.93,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-AMAZON-2026-02-28,Lightweight Soft Scarf,LT-SF-004,21.99,12,263.88,2026-02-22,2026-02-28,2026-02-22 to 2026-02-28,Amazon,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-SHOPIFY-2026-03-07,Lightweight Soft Scarf,LT-SF-004,21.99,8,175.92,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Shopify,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
LT-SF-004-AMAZON-2026-03-07,Lightweight Soft Scarf,LT-SF-004,21.99,13,285.87,2026-03-01,2026-03-07,2026-03-01 to 2026-03-07,Amazon,Luma & Thread,GBP,simulated_from_brand_profile_and_product_catalog,2026-03-07T00:00:00Z
